speciesKey,species,occurrenceCount,vernacularNameEn,vernacularNameEs,vernacularNameEl,imageSrc,imageUrl,imageBy,speciesGroup,iucnRedListCategory
2481174,Larus fuscus,3677126,Lesser Black-backed Gull,Gaviota sombría,Μελανόγλαρος,https://inaturalist-open-data.s3.amazonaws.com/photos/111114484/medium.jpeg,https://www.inaturalist.org/observations/68596025,Andrew Bazdyrev,Birds,LC
2481139,Larus argentatus,2076315,European Herring Gull,Gaviota argéntea,Ασημόγλαρος,https://inaturalist-open-data.s3.amazonaws.com/photos/636514055/medium.jpg,https://www.inaturalist.org/observations/348963009,Jason Thompson,Birds,LC
8084280,Gadus morhua,1738617,Atlantic Cod,Bacalao común,Μπακαλιάρος του Ατλαντικού,https://inaturalist-open-data.s3.amazonaws.com/photos/541436632/medium.jpg,https://www.inaturalist.org/observations/300496831,Kim Nesbitt,Bony fish,VU
7788295,Haematopus ostralegus,1038140,Eurasian Oystercatcher,Ostrero euroasiático,Στρειδοφάγος,https://inaturalist-open-data.s3.amazonaws.com/photos/1039273/medium.jpg,https://www.inaturalist.org/observations/823427,Brian Gratwicke,Birds,NT
2480389,Gyps fulvus,973808,Eurasian Griffon,Buitre leonado​,Όρνιο,https://inaturalist-open-data.s3.amazonaws.com/photos/449977975/medium.jpg,https://www.inaturalist.org/observations/251479613,Quentin Gaillard,Birds,LC
8215487,Salmo trutta,931959,Brown Trout,Trucha común,Πέστροφα,https://inaturalist-open-data.s3.amazonaws.com/photos/153521117/medium.jpg,https://www.inaturalist.org/observations/92696622,Olly Morgan,Bony fish,LC
2333785,Myoxocephalus scorpius,775533,Shorthorn Sculpin,,Σκορπιός της θάλασσας,https://inaturalist-open-data.s3.amazonaws.com/photos/398763231/medium.jpeg,https://www.inaturalist.org/observations/224955938,Kian Hayles-Cotton,Bony fish,LC
2226639,Chionoecetes opilio,691379,Snow Crab,Cangrejo azul de las nieves,Καβούρι του χιονιού,https://inaturalist-open-data.s3.amazonaws.com/photos/31353551/medium.jpg,https://www.inaturalist.org/observations/20307202,Georgy Vinogradov,Invertebrates,
2481646,Eudyptula minor,493654,Little Penguin,Pingüino azul,Μικρός Μπλε Πιγκουίνος,https://inaturalist-open-data.s3.amazonaws.com/photos/243990665/medium.jpeg,https://www.inaturalist.org/observations/142329640,johnnoh,Birds,LC
2474950,Grus grus,358712,Common Crane,Grulla común,Γερανός,https://inaturalist-open-data.s3.amazonaws.com/photos/227565252/medium.jpg,https://www.inaturalist.org/observations/133585813,Vsevolod Rudyi,Birds,LC
5972004,Homarus americanus,348434,American Lobster,Bogavante americano,Αμερικανικός αστακός,https://inaturalist-open-data.s3.amazonaws.com/photos/31318271/medium.jpg,https://www.inaturalist.org/observations/20286880,Bob Semple,Invertebrates,LC
5212973,Anguilla anguilla,332194,European Eel,Anguila europea,Χέλι,https://inaturalist-open-data.s3.amazonaws.com/photos/316049128/medium.jpeg,https://www.inaturalist.org/observations/181365760,Nicola Crockford,Bony fish,CR
2333802,Myoxocephalus octodecemspinosus,325330,Longhorn Sculpin,,,https://inaturalist-open-data.s3.amazonaws.com/photos/374555081/medium.jpeg,https://www.inaturalist.org/observations/211920189,Lara Gibson,Bony fish,
4284021,Salvelinus alpinus,320271,Arctic Char,Salvelino,Αρκτοσαλβελίνος,https://inaturalist-open-data.s3.amazonaws.com/photos/256781750/medium.jpeg,https://www.inaturalist.org/observations/149052430,Игорь Загребин,Bony fish,LC
2480970,Sula variegata,299891,Peruvian Booby,Piquero peruano,Περουβιανή σούλα,https://inaturalist-open-data.s3.amazonaws.com/photos/210308716/medium.jpg,https://www.inaturalist.org/observations/124098338,Frédéric LEVIEZ,Birds,LC
2402120,Acipenser fulvescens,291762,Lake Sturgeon,Esturión de lago,Στουριόνι,https://inaturalist-open-data.s3.amazonaws.com/photos/522174507/medium.jpg,https://www.inaturalist.org/observations/290276856,Below Blue Water Diver,Bony fish,EN
7595433,Salmo salar,272489,Atlantic Salmon,Salmón común,Σολομός του Ατλαντικού,https://inaturalist-open-data.s3.amazonaws.com/photos/555838239/medium.jpg,https://www.inaturalist.org/observations/308109504,v_moss,Bony fish,NT
2480482,Circus aeruginosus,261473,Western Marsh Harrier,Aguilucho lagunero occidental,Καλαμόκιρκος,https://inaturalist-open-data.s3.amazonaws.com/photos/121481252/medium.jpg,https://www.inaturalist.org/observations/74337384,Artem Kuznetsov,Birds,LC
2394612,Morone saxatilis,225383,Striped Bass,Lubina rayada atlántica,Ταινιωτό λαβράκι,https://inaturalist-open-data.s3.amazonaws.com/photos/170972334/medium.jpg,https://www.inaturalist.org/observations/102298548,Christian Back,Bony fish,LC
2417981,Carcharhinus melanopterus,222104,Blacktip Reef Shark,Tiburón punta negra de arrecife,Καρχαρίνος μελανόφτερος,https://inaturalist-open-data.s3.amazonaws.com/photos/436348367/medium.jpeg,https://www.inaturalist.org/observations/244609491,Leona Kustra,Sharks & Rays,VU
2434806,Halichoerus grypus,219519,Grey Seal,Foca gris,Γκρίζα φώκια,https://inaturalist-open-data.s3.amazonaws.com/photos/360702762/medium.jpg,https://www.inaturalist.org/observations/204097481,Charles Tuberdyke,Marine mammals,LC
2418064,Carcharhinus amblyrhynchos,213681,Grey Reef Shark,Tiburón gris,Τεφρός καρχαρίας,https://inaturalist-open-data.s3.amazonaws.com/photos/333199230/medium.jpg,https://www.inaturalist.org/observations/190112937,Etienne Guitton,Sharks & Rays,EN
8151548,Ichthyaetus melanocephalus,205983,Mediterranean Gull,Gaviota cabecinegra,Μελανοκέφαλος γλάρος,https://inaturalist-open-data.s3.amazonaws.com/photos/76875465/medium.png,https://www.inaturalist.org/observations/48448425,Paolo Zucca,Birds,LC
2402122,Acipenser transmontanus,202817,White Sturgeon,Esturión blanco,Οξύρρυγχος ο υπερορεινός,https://inaturalist-open-data.s3.amazonaws.com/photos/627931068/medium.jpg,https://www.inaturalist.org/observations/344614581,mlyons7,Bony fish,VU
2480975,Sula leucogaster,149311,Brown Booby,Piquero pardo,Καστανόσουλα,https://inaturalist-open-data.s3.amazonaws.com/photos/325883613/medium.jpg,https://www.inaturalist.org/observations/186472268,Ryan Douglas,Birds,LC
2442225,Chelonia mydas,144423,Green Sea Turtle,Tortuga verde,Πράσινη χελώνα,https://inaturalist-open-data.s3.amazonaws.com/photos/222581734/medium.jpg,https://www.inaturalist.org/observations/130847742,bradenrice13,Reptiles,LC
2480509,Aquila clanga,141656,Greater Spotted Eagle,Águila moteada,Στικταετός,https://inaturalist-open-data.s3.amazonaws.com/photos/460444126/medium.jpg,https://www.inaturalist.org/observations/256765220,cog2022,Birds,VU
2481909,Ciconia nigra,108179,Black Stork,Cigüeña negra,Μαυροπελαργός,https://inaturalist-open-data.s3.amazonaws.com/photos/627006478/medium.jpg,https://www.inaturalist.org/observations/344140448,Darren Obbard,Birds,LC
5202525,Ictalurus furcatus,106865,Blue Catfish,Bagre azul,Μπλε γατόψαρο,https://inaturalist-open-data.s3.amazonaws.com/photos/417341337/medium.jpeg,https://www.inaturalist.org/observations/234718340,gwen2012,Bony fish,LC
2480449,Haliaeetus albicilla,98231,White-tailed Eagle,Pigargo europeo​,Θαλασσαετός,https://inaturalist-open-data.s3.amazonaws.com/photos/512049225/medium.jpg,https://www.inaturalist.org/observations/284898437,Wolfgang Bettighofer,Birds,LC
2480801,Platalea leucorodia,94975,Eurasian Spoonbill,Espátula común,Χουλιαρομύτα,https://inaturalist-open-data.s3.amazonaws.com/photos/510417211/medium.jpg,https://www.inaturalist.org/observations/284036721,Meike Pa,Birds,LC
5204024,Oncorhynchus tshawytscha,93425,Chinook Salmon,Salmón real,Σολομός Σινούκ,https://inaturalist-open-data.s3.amazonaws.com/photos/330188705/medium.jpeg,https://www.inaturalist.org/observations/188623212,sfreeman7,Bony fish,LC
2418036,Carcharhinus leucas,93293,Bull Shark,Tiburón toro,Ταυροκαρχαρίας,https://inaturalist-open-data.s3.amazonaws.com/photos/323478792/medium.jpg,https://www.inaturalist.org/observations/185236225,Pablo A. Arias Cid,Sharks & Rays,VU
8894817,Caretta caretta,89095,Loggerhead Sea Turtle,Tortuga boba,Χελώνα Καρέττα,https://inaturalist-open-data.s3.amazonaws.com/photos/228915238/medium.jpg,https://www.inaturalist.org/observations/134311274,alk Viczian Solarboot-Projekte gGmbH,Reptiles,VU
2480495,Circus pygargus,86257,Montagu's Harrier,Aguilucho cenizo,Λιβαδόκιρκος,https://inaturalist-open-data.s3.amazonaws.com/photos/658135904/medium.jpg,https://www.inaturalist.org/observations/360668298,Roman Gunchin,Birds,LC
